checkpoint_date,checkpoint_time,uav_drones,shahed,orlan,orion,lancet,merlin,granat_4,zala,mohajer_6,missiles,ballistic_missiles,missile_kh_31p,cruise_missiles,kh_59_missile,kalibr_missile,kinzhal_missile,iskander_m_missile,iskander_k_missile,fighter_su_30_cm,fighter_su_34,fighter_su_35,fighter_su_24m,fighter_su_25,helicopter,helicopter_k_52,helicopter_mi_8,plane_a_50,plane_il_22
2023-12-14,07:00:00,,41,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-14,16:00:00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2023-12-15,07:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-16,07:00:00,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-17,07:00:00,,20,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-12-18,06:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-19,07:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-20,07:00:00,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-21,06:00:00,,34,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-22,07:00:00,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-23,06:00:00,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-24,07:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-24,21:00:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2023-12-25,07:00:00,,28,,,,,,,,,,1,,1,,,,,1,1,,,,,,,,
2023-12-26,07:00:00,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-27,07:00:00,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-28,07:00:00,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-29,10:00:00,,27,,,,,,,,,,,87,,,,,,,,,,,,,,,
2023-12-30,09:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,07:00:00,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,08:00:00,,87,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,19:00:00,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,
2024-01-02,06:00:00,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
